Name,Visits,Rating,state,country
Tirumala Venkateswara Temple,30000000,4.8,Andhra Pradesh,India
Araku Valley,2000000,4.5,Andhra Pradesh,India
Borra Caves,1000000,4.4,Andhra Pradesh,India
Ramakrishna Beach,2000000,4.3,Andhra Pradesh,India
Srisailam,1500000,4.5,Andhra Pradesh,India
Kanaka Durga Temple,1000000,4.5,Andhra Pradesh,India
Undavalli Caves,500000,4.4,Andhra Pradesh,India
Lepakshi,300000,4.5,Andhra Pradesh,India
Ahobilam Temple,200000,4.6,Andhra Pradesh,India
Kailasagiri,1000000,4.3,Andhra Pradesh,India
Gandikota,400000,4.5,Andhra Pradesh,India
Thotlakonda Buddhist Complex,300000,4.4,Andhra Pradesh,India
Kolleru Lake,150000,4.2,Andhra Pradesh,India
Manginapudi Beach,200000,4.1,Andhra Pradesh,India
Sri Venkateswara National Park,500000,4.3,Andhra Pradesh,India
Pavurallakonda,100000,4.2,Andhra Pradesh,India
Yaganti Temple,200000,4.4,Andhra Pradesh,India
Maredumilli,150000,4.5,Andhra Pradesh,India
Rajahmundry Godavari Bridge,500000,4.4,Andhra Pradesh,India
Draksharamam Temple,300000,4.5,Andhra Pradesh,India
Suryalanka Beach,250000,4.3,Andhra Pradesh,India
Sankaram,100000,4.2,Andhra Pradesh,India
Simhachalam Temple,1000000,4.5,Andhra Pradesh,India
VUDA Park,700000,4.2,Andhra Pradesh,India
Dwaraka Tirumala,500000,4.4,Andhra Pradesh,India
Sriharikota,200000,4.3,Andhra Pradesh,India
Bavikonda,100000,4.2,Andhra Pradesh,India
Belum Caves,250000,4.5,Andhra Pradesh,India
Annavaram Temple,1000000,4.5,Andhra Pradesh,India
Nagarjunakonda,150000,4.3,Andhra Pradesh,India

Mysore Palace,3000000,4.7,Karnataka,India
Bangalore Palace,2000000,4.4,Karnataka,India
Hampi,1500000,4.7,Karnataka,India
Coorg,1200000,4.6,Karnataka,India
Lalbagh Botanical Garden,1000000,4.5,Karnataka,India
Bannerghatta National Park,900000,4.3,Karnataka,India
Chikmagalur,800000,4.6,Karnataka,India
Badami Caves,700000,4.5,Karnataka,India
Nandi Hills,600000,4.4,Karnataka,India
Jog Falls,500000,4.5,Karnataka,India
Gokarna,400000,4.6,Karnataka,India
Shravanabelagola,350000,4.5,Karnataka,India
Gol Gumbaz,300000,4.4,Karnataka,India
Murudeshwar,250000,4.5,Karnataka,India
Kabini Wildlife Sanctuary,200000,4.6,Karnataka,India
Bhadra Wildlife Sanctuary,150000,4.4,Karnataka,India
Dandeli,100000,4.5,Karnataka,India
Kudremukh,90000,4.6,Karnataka,India
Kemmangundi,80000,4.4,Karnataka,India
Agumbe,75000,4.3,Karnataka,India
Chitradurga Fort,70000,4.5,Karnataka,India
Anshi National Park,65000,4.4,Karnataka,India
Ramanagara,60000,4.3,Karnataka,India
Savandurga,55000,4.4,Karnataka,India
Horanadu,50000,4.6,Karnataka,India
Udupi Sri Krishna Matha,45000,4.5,Karnataka,India
Kukke Subramanya Temple,40000,4.5,Karnataka,India
Somnathpur Temple,35000,4.4,Karnataka,India
Bandipur National Park,30000,4.3,Karnataka,India
Gavi Gangadhareshwara Temple,25000,4.4,Karnataka,India

Munnar,2000000,4.6,Kerala,India
Alleppey Backwaters,1800000,4.5,Kerala,India
Kumarakom,1500000,4.5,Kerala,India
Thekkady,1200000,4.5,Kerala,India
Wayanad,1000000,4.5,Kerala,India
Kochi Fort,900000,4.4,Kerala,India
Varkala Beach,850000,4.6,Kerala,India
Bekal Fort,800000,4.5,Kerala,India
Athirapally Waterfalls,750000,4.5,Kerala,India
Sree Padmanabhaswamy Temple,700000,4.7,Kerala,India
Poovar Island,650000,4.4,Kerala,India
Kovalam Beach,600000,4.5,Kerala,India
Periyar Wildlife Sanctuary,550000,4.4,Kerala,India
Vagamon,500000,4.5,Kerala,India
Ponmudi,450000,4.4,Kerala,India
Silent Valley National Park,400000,4.5,Kerala,India
Thrissur Pooram,350000,4.6,Kerala,India
Guruvayur Temple,300000,4.7,Kerala,India
Munroe Island,250000,4.5,Kerala,India
Ashtamudi Lake,200000,4.4,Kerala,India
Nelliampathy,150000,4.5,Kerala,India
Malampuzha Dam,100000,4.3,Kerala,India
Thiruvananthapuram Zoo,90000,4.2,Kerala,India
Cherai Beach,80000,4.5,Kerala,India
Edakkal Caves,70000,4.3,Kerala,India
Marari Beach,60000,4.4,Kerala,India
Anamudi Peak,50000,4.5,Kerala,India
Veli Tourist Village,40000,4.3,Kerala,India
Kottayam,30000,4.4,Kerala,India
Kuttanad,25000,4.5,Kerala,India

Madurai Meenakshi Amman Temple,15000000,4.5,Tamil Nadu,India
Kapaleeshwarar Temple,5000000,4.5,Tamil Nadu,India
Marina Beach,20000000,4.0,Tamil Nadu,India
Brihadeeswara Temple,1500000,5.0,Tamil Nadu,India
Besant Nagar Beach,5000000,4.0,Tamil Nadu,India
Arulmigu Ramanatha Swamy Temple,2000000,4.5,Tamil Nadu,India
Snow Kingdom,500000,5.0,Tamil Nadu,India
Monuments at Mahabalipuram,1700000,4.5,Tamil Nadu,India
Vivekananda Rock Memorial,1500000,4.5,Tamil Nadu,India
Chettinad,400000,5.0,Tamil Nadu,India
Kumbakonam,1000000,4.6,Tamil Nadu,India
Trichy (Tiruchirappalli),2000000,4.1,Tamil Nadu,India
Chidambaram,800000,4.6,Tamil Nadu,India
Nagapattinam,600000,5.0,Tamil Nadu,India
Vedanthangal Bird Sanctuary,200000,3.8,Tamil Nadu,India
Tharangambadi (Tranquebar),150000,5.0,Tamil Nadu,India
Courtallam (Kutralam),1000000,4.2,Tamil Nadu,India
Bellikkal,100000,4.5,Tamil Nadu,India
Vellore Fort,300000,3.5,Tamil Nadu,India
Yercaud,500000,4.3,Tamil Nadu,India
Kodaikanal Lake,800000,4.4,Tamil Nadu,India
Hogenakkal Falls,700000,4.3,Tamil Nadu,India
Ooty Lake,1200000,4.2,Tamil Nadu,India
Mysore Palace,3000000,4.6,Tamil Nadu,India
Nilgiri Mountain Railway,1500000,4.5,Tamil Nadu,India
Annamalaiyar Temple,1000000,4.5,Tamil Nadu,India
"Ranganathaswamy Temple, Srirangam",2000000,4.5,Tamil Nadu,India
Pichavaram Mangrove Forest,150000,4.2,Tamil Nadu,India
