Name,City,State,Visitors,Rating,Opening Hours,Historical,Natural,Amusement,Beach,Description
New York,New York,50000000,4.7,24 hours,2,1,5,0,One of the world's most visited tourist attractions, known for its bright lights and Broadway shows.
Grand Canyon,Arizona,6000000,4.9,24 hours,2,5,2,0,A UNESCO World Heritage site known for its immense size and its intricate and colorful landscape.,
Anaheim,California,18000000,4.8,8 AM - 12 AM,2,2,5,0,The world-famous theme park created by Walt Disney.,
Yellowstone,Wyoming,4000000,4.9,24 hours,2,5,2,0,The first national park in the world, known for its wildlife and geothermal features.
Niagara Falls,New York,3000000,4.8,24 hours,2,5,2,0,A group of three waterfalls at the southern end of Niagara Gorge.,
Las Vegas,Nevada,42000000,4.6,24 hours,2,2,5,0,Known for its concentration of resort hotels and casinos.,
San Francisco,California,10000000,4.8,24 hours,5,2,2,0,An iconic suspension bridge connecting San Francisco Bay and the Pacific Ocean.,
Los Angeles,California,9000000,4.7,10 AM - 6 PM,2,2,5,0,A film studio and theme park.,
Keystone,South Dakota,2000000,4.7,5 AM - 11 PM,5,2,2,0,A massive sculpture carved into the granite face of Mount Rushmore.,
New Orleans,Louisiana,7000000,4.6,24 hours,5,2,4,0,A historic district known for its vibrant nightlife and colorful buildings.,
Philadelphia,Pennsylvania,1500000,4.7,9 AM - 5 PM,5,2,2,0,An iconic symbol of American independence.,
Orlando,Florida,58000000,4.8,9 AM - 9 PM,2,2,5,0,The most visited vacation resort in the world.,
Springdale,Utah,4500000,4.9,24 hours,2,5,2,0,Known for its steep red cliffs.,
Washington,D.C.,700000,4.8,7:30 AM - 4 PM,5,2,2,0,The official residence and workplace of the President of the United States.,
Honolulu,Hawaii,8000000,4.7,24 hours,2,3,3,5,A popular beach in Honolulu.,
Seattle,Washington,2000000,4.7,10 AM - 8 PM,5,2,2,0,An observation tower in Seattle, Washington.
Three Rivers,California,1000000,4.9,24 hours,2,5,2,0,Known for its giant sequoia trees, including the General Sherman tree.
Boston,Massachusetts,500000,4.6,9 AM - 5 PM,5,2,5,0,The oldest ballpark in Major League Baseball.,
Gatlinburg,Tennessee,12000000,4.9,24 hours,2,5,2,0,Known for its mist-covered mountains and diverse plant and animal life.,
Bryce,Utah,2600000,4.9,24 hours,2,5,2,0,Known for its crimson-colored hoodoos.,
Bar Harbor,Maine,3500000,4.9,24 hours,2,5,2,0,Known for its rocky headlands and natural beauty.,
Monterey,California,2000000,4.8,10 AM - 5 PM,2,2,3,0,A public aquarium known for its regional focus on the marine habitats of Monterey Bay.,
St. Louis,Missouri,2500000,4.8,8 AM - 10 PM,5,2,2,0,A 630-foot monument in St. Louis.,
Page,Arizona,2500000,4.9,24 hours,2,5,2,0,A slot canyon known for its wave-like structure and light beams.,
Memphis,Tennessee,650000,4.8,9 AM - 4 PM,5,2,5,0,The former home of Elvis Presley.,
Interior,South Dakota,1000000,4.8,24 hours,2,5,2,0,Known for its sharply eroded buttes and pinnacles.,
Mount Vernon,Virginia,1000000,4.7,9 AM - 5 PM,5,2,2,0,The plantation home of George Washington.,
Skamania,Washington,500000,4.8,24 hours,2,5,2,0,An active stratovolcano known for its 1980 eruption.,
Cleveland,Ohio,600000,4.7,10 AM - 5:30 PM,5,2,5,0,A museum and hall of fame celebrating the history and cultural significance of rock music.,
Merritt Island,Florida,1900000,4.8,9 AM - 5 PM,5,2,3,0,A space launch facility.,
Colorado Springs,Colorado,500000,4.8,24 hours,2,5,2,0,A mountain in the Front Range of the Rocky Mountains.,
Ashford,Washington,2000000,4.9,24 hours,2,5,2,0,Known for its active volcano, Mount Rainier.
Jackson,Wyoming,3000000,4.7,24 hours,2,5,4,0,A valley between the Teton Mountain Range and the Gros Ventre Range.,
Charleston,South Carolina,1000000,4.7,10 AM - 5 PM,5,2,2,0,A sea fort known for two battles of the American Civil War.,
Crater Lake,Oregon,700000,4.9,24 hours,2,5,2,0,Known for its deep blue color and water clarity.,
San Antonio,Texas,1500000,4.7,9 AM - 5:30 PM,5,2,2,0,A historic Spanish mission and fortress compound.,
Vail,Colorado,2000000,4.8,24 hours,2,5,4,0,A popular ski resort.,
Carlsbad,New Mexico,400000,4.9,24 hours,2,5,2,0,Known for its extensive cave system.,
Mammoth Cave,Kentucky,500000,4.8,24 hours,2,5,2,0,The world's longest known cave system.,
San Diego,California,4000000,4.9,9 AM - 6 PM,2,5,3,0,One of the most famous zoos in the world, known for its large and diverse collection of animals.
Venice Beach,Los Angeles,California,10000000,4.6,24 hours,2,3,4,5,Known for its bohemian spirit and vibrant boardwalk.
