name,visits,rating,state,country
Mysore Palace,3000000,4.7,Karnataka,India
Bangalore Palace,2000000,4.4,Karnataka,India
Hampi,1500000,4.7,Karnataka,India
Coorg,1200000,4.6,Karnataka,India
Lalbagh Botanical Garden,1000000,4.5,Karnataka,India
Bannerghatta National Park,900000,4.3,Karnataka,India
Chikmagalur,800000,4.6,Karnataka,India
Badami Caves,700000,4.5,Karnataka,India
Nandi Hills,600000,4.4,Karnataka,India
Jog Falls,500000,4.5,Karnataka,India
Gokarna,400000,4.6,Karnataka,India
Shravanabelagola,350000,4.5,Karnataka,India
Gol Gumbaz,300000,4.4,Karnataka,India
Murudeshwar,250000,4.5,Karnataka,India
Kabini Wildlife Sanctuary,200000,4.6,Karnataka,India
Bhadra Wildlife Sanctuary,150000,4.4,Karnataka,India
Dandeli,100000,4.5,Karnataka,India
Kudremukh,90000,4.6,Karnataka,India
Kemmangundi,80000,4.4,Karnataka,India
Agumbe,75000,4.3,Karnataka,India
Chitradurga Fort,70000,4.5,Karnataka,India
Anshi National Park,65000,4.4,Karnataka,India
Ramanagara,60000,4.3,Karnataka,India
Savandurga,55000,4.4,Karnataka,India
Horanadu,50000,4.6,Karnataka,India
Udupi Sri Krishna Matha,45000,4.5,Karnataka,India
Kukke Subramanya Temple,40000,4.5,Karnataka,India
Somnathpur Temple,35000,4.4,Karnataka,India
Bandipur National Park,30000,4.3,Karnataka,India
Gavi Gangadhareshwara Temple,25000,4.4,Karnataka,India
