name,visits,rating,state,country
Golconda Fort,3000000,4.5,Telangana,India
Charminar,2500000,4.4,Telangana,India
Ramoji Film City,1800000,4.3,Telangana,India
Birla Mandir,1500000,4.4,Telangana,India
Salar Jung Museum,1200000,4.4,Telangana,India
Nehru Zoological Park,1000000,4.2,Telangana,India
Chowmahalla Palace,900000,4.3,Telangana,India
Hussain Sagar Lake,850000,4.1,Telangana,India
Qutub Shahi Tombs,800000,4.3,Telangana,India
Lumbini Park,750000,4.2,Telangana,India
Snow World,700000,4.1,Telangana,India
KBR National Park,650000,4.3,Telangana,India
Purani Haveli,600000,4.1,Telangana,India
Taramati Baradari,550000,4.0,Telangana,India
Shilparamam,500000,4.2,Telangana,India
Mecca Masjid,450000,4.4,Telangana,India
Birla Planetarium,400000,4.1,Telangana,India
Mrugavani National Park,350000,4.0,Telangana,India
Mahavir Harina Vanasthali National Park,300000,4.1,Telangana,India
Keesaragutta Temple,250000,4.3,Telangana,India
Ananthagiri Hills,200000,4.2,Telangana,India
Pocharam Wildlife Sanctuary,150000,4.0,Telangana,India
Medak Fort,100000,4.1,Telangana,India
Bhongir Fort,90000,4.2,Telangana,India
Warangal Fort,85000,4.3,Telangana,India
Pakhal Lake,80000,4.1,Telangana,India
Khammam Fort,75000,4.0,Telangana,India
Alampur,70000,4.2,Telangana,India
Bhadrachalam,65000,4.1,Telangana,India
Basara,60000,4.3,Telangana,India
